english,finnish,amnesiac abilities,savant infos
An Outsider has been turned into a Townsfolk. ,Outsider on muutettu Townsfolkiksi. ,The demon thinks you are the lunatic,There is exactly 1 madness ability in play (TRUE: Cerenovous)
No players have been resurrected so far. ,Yhtään pelaajaa ei ole vielä herätetty henkiin. ,"Each night, choose a player. You learn a their, or a character that is adjacent to theirs on the script.(With Leviathan and balloonist wrapping around)",No evil players were picked by an ability N1 (Cerenovous at themself?)
A lunatic believes they are the demon. ,Hullu uskoo olevansa demoni. ,"Each night, learn a piece of false information.",One player changed characters
No good player has used their once-per-game ability yet. ,Yksikään hyvä pelaaja ei ole käyttänyt kerran-pelissä-kykyään. ,Choose a player. Learn what result came from ST's d6 roll.,One once per game ability was used (TRUE: Timothy)
The Barber's ability triggered a demon swap. ,The Barberin kyky laukaisi demonin vaihdon. ,You learn both minions in play but become the poisoned snakecharmer but your actually the mutant,At the start of the game there was a good player between two evil players
The Witch has cursed the same player twice. ,The Witch on kironnut samaa pelaajaa kahdesti. ,"Each Day, a player gains the ability 'You may be executed at any time' in addition to their regular ability. Your neighbours are Empaths",The outsider count has not been modified
The number of players poisoned is greater than the number of drunks. ,Myrkytettyjen pelaajien määrä on suurempi kuin humalaisten määrä. ,"Each night a player becomes is your “soulmate” whatever happens to your soulmate happens to you If your soulmate dies you die, If your soulmate gains information you gain that information, If your soulmates roll changes your roll changes",Zebolt and Chris are both sober and healthy
A Townsfolk has been turned into an Outsider. ,Townsfolk on muutettu Outsideriksi. ,"Each night, you learn how many pairs of evil the living players have.""",A shugenja would get counterclockwise
The game started with two minions sitting next to each other. ,Peli alkoi kahden apulaisen istuessa vierekkäin. ,You learn the name of an alive player next to you every night. If the player you learn nominates you learn if the person they nominated’s alignment the following night,The outsider count has been modified/ sage is one of the demon bluffs
A player who was dead at the beginning of the night is alive now. ,"Pelaaja, joka oli kuollut yön alussa, on nyt elossa. ","Each night, a player chooses a closeness (Cold, Warm or Hot). Until you Bingo, you will learn that player's choice when asking the storyteller, and your ability will change to match the answer",There is a witch in play/there is no outsider are siting next to evil
There is a drunk player who believes they are an Outsider. ,"On humalainen pelaaja, joka uskoo olevansa Outsider. ",,There’s at least 1 drunk or poisoned in the game at the moment
The Oracle saw two deaths last night. ,The Oracle näki kaksi kuolemaa viime yönä. ,,There’s exactly one evil player going clockwise from Tatu to Meeri inclusive
The Imp has not used their self-kill ability. ,The Imp ei ole käyttänyt itsetuho-kykyään. ,,"A minion nominated, got nominated, or voted yesterday"
The Virgin has been nominated but did not cause the nominator to die. ,"The Virgin ehdotettiin, mutta se ei aiheuttanut ehdottajan kuolemaa. ",,The Outsider count has been modified
The Monk has successfully protected a player from death. ,The Monk on onnistuneesti suojannut pelaajaa kuolemalta. ,,An evil player is dead
An evil player has pretended to be the Saint. ,Paha pelaaja on teeskennellyt olevansa the Saint. ,,The Demon has 4 letters in their name
The Flowergirl did not see the demon vote yesterday. ,The Flowergirl ei nähnyt demonin äänestävän eilen. ,,There is no Philosopher in the game
There are no more than 2 minions left alive. ,Elävänä on enintään 2 apulaista. ,,We have a Pit-Hag in game who has not used their ability
An Outsider was executed on the first day. ,Outsider teloitettiin ensimmäisenä päivänä. ,,There’s at least 1 drunk or poisoned in the game at the moment
The Spy has been seen as an Outsider by the Butler. ,The Spy on nähty Outsiderina the Butlerin toimesta. ,,There’s exactly one evil player going clockwise from Tatu to Meeri inclusive
A Townsfolk player has been turned evil by the Pit-Hag. ,Townsfolk-pelaaja on muutettu pahaksi The Pit-Hagin toimesta. ,,"A minion nominated, got nominated, or voted yesterday"
No players were poisoned on the first night. ,Yhtään pelaajaa ei myrkytetty ensimmäisenä yönä. ,,The Outsider count has been modified
A demon has bluffed as a Townsfolk character. ,Demoni on bluffannut olevansa Townsfolk-hahmo. ,,An evil player is dead
The Soldier has successfully blocked an attempt on their life. ,The Soldier on onnistuneesti estänyt yrityksen hänen henkensä viemiseksi. ,,The Demon has 4 letters in their name
"The Slayer has used their ability, but did not kill the demon. ","The Slayer on käyttänyt kykyään, mutta ei tappanut demonia. ",,There is no Philosopher in the game
The Washerwoman has confirmed the identity of a Townsfolk. ,The Washerwoman on vahvistanut Townsfolkin identiteetin. ,,We have a Pit-Hag in game who has not used their ability
